mass1,radius1,vx1,vy1,vz1,x1,y1,z1,ax1,ay1,az1,mass2,radius2,vx2,vy2,vz2,x2,y2,z2,ax2,ay2,az2,time
7.72659656623814e+32,21509020612.77471,928087.6796568747,4591.10257265403,699.6400389965177,12738391732.272964,-6496791171076.448,-1358212072.12156, 0.0001970986933888452,0.26754596698870603,0.03613105348345794,1.1933519999999997e+33,21509020612.77471,-1547450.189430635,-6710.041831185272,0.3500176486193913,-26739865268.15677,10827085527499.76,3147.548436815844, 0.0009055824281183801,-0.40388590439942385,2.106903430724168e-05, 0.0
7.72659656623814e+32,21509020612.77471,927768.3428892345,9778.792436918873,1215.1176267424394,28772802284.27336,-6496664190807.884,-1342100923.3100002, -0.01399933677999906,0.30758764694151997,0.04196277534229262,1.1933519999999997e+33,21509020612.77471,-1547424.641629019,-13773.28868701119,0.7218131865368879,-53479598518.99633,10826904581425.773,12610.684054964711, 0.0019152126824999141,-0.40388958575930456,2.144535867566784e-05, 1728.0
7.72659656623814e+32,21509020612.77471,927460.1812951749,15120.042836082112,1807.8754019379187,44802700483.7345,-6496446648754.293,-1315202486.9482956, -0.01713826253183903,0.29915525102927526,0.03599278083365371,1.1933519999999997e+33,21509020612.77471,-1547381.4376997359,-20836.62059779178,1.1047605241047211,-80218736824.83142,10826603051874.174,28505.32434081639, 0.002924929154438705,-0.40389545506813485,2.2371318065344268e-05, 3456.0
7.72659656623814e+32,21509020612.77471,927317.373886121,20612.43340381503,2302.306607638203,60828104375.99796,-6496136943961.774,-1279059682.5240073, -0.003980220245498249,0.3173953881067735,0.02335953963272773,1.1933519999999997e+33,21509020612.77471,-1547320.576907688,-27900.078374697416,1.4981349791410257,-106956982417.35144,10826180937062.762,51050.400284351745, 0.003934364269089736,-0.40390381121160385,2.245705437441049e-05, 5184.0
7.72659656623814e+32,21509020612.77471,927324.4227133249,26143.181457484945,2945.9995840964534,76851951377.55818,-6495733843136.596,-1233347795.045422, 0.0009120615103016011,0.3234591814240431,0.025341028319273907,1.1933519999999997e+33,21509020612.77471,-1547242.0619903463,-34963.70682672168,1.894205124602262,-133694037583.75761,10825638234481.143,80321.97511669801, 0.004944129643772821,-0.4039146924327898,2.291474586164674e-05, 6912.0
7.72659656623814e+32,21509020612.77471,927149.9879675442,31543.466368657606,3495.803107018733,92874495900.67381,-6495237037023.439,-1178360210.4189768, -0.001937358956252955,0.3218113292510543,0.03092926685288483,1.1933519999999997e+33,21509020612.77471,-1547145.877785735,-42027.550383677444,2.3047781553896876,-160429604481.81436,10824974940884.945,116462.51075237455, 0.005954420709258447,-0.4039281604118099,2.398385978251045e-05, 8640.0
7.72659656623814e+32,21509020612.77471,926970.7438776852,36998.96804441465,4069.598255275906,108894328459.97089,-6494646915715.69,-1113596495.5866158, -0.010046815814417971,0.31074761697724756,0.034466528130174305,1.1933519999999997e+33,21509020612.77471,-1547032.0331144577,-49091.658461914776,2.729998257288335,-187163385187.9741,10824191052241.11,159750.86750587355, 0.006964134422903257,-0.40394460881789046,2.4511777489993332e-05, 10368.0
7.72659656623814e+32,21509020612.77471,926921.9607767165,42544.20185068729,4608.8223597051265,124912079475.88081,-6493963630593.74,-1038953330.2227865, -0.012160433611680881,0.3149017641653197,0.03626170134092028,1.1933519999999997e+33,21509020612.77471,-1546900.5296640708,-56156.067917482505,3.1721825142670017,-213895081928.1504,10823286563772.328,210403.53548825218, 0.00797450735668213,-0.4039623787646021,2.6124222390777918e-05, 12096.0
7.72659656623814e+32,21509020612.77471,926598.4429883435,47486.76061012377,5158.143576700649,140926340772.58594,-6493185648045.185,-954210807.7167041, -0.01698368434864864,0.30850985032433964,0.023083381569685313,1.1933519999999997e+33,21509020612.77471,-1546767.062622643,-62514.32257612271,3.582836729331255,-240624394798.6892,10822261382141.215,268749.4137749732, 0.00888401077599328,-0.40398065787090426,2.6495655524633578e-05, 13824.0
7.72659656623814e+32,21509020612.77471,926318.964598528,52898.019247775424,5793.390446152953,156935570210.68774,-6492314375080.118,-859238224.3258165, -0.020825284031724123,0.29494245869132374,0.0345548426643619,1.1933519999999997e+33,21509020612.77471,-1546601.9757705433,-69579.41554434091,4.06440324325259,-267351025770.88345,10821115530236.684,335095.14477985754, 0.009894640526214978,-0.4040039351335403,2.8205806409272347e-05, 15552.0
7.72659656623814e+32,21509020612.77471,925938.3505612059,58233.5737386181,6381.107332958405,172938634676.57837,-6491352438391.904,-753791536.236087, -0.017407287803246792,0.31397643160148553,0.03174736849345879,1.1933519999999997e+33,21509020612.77471,-1546419.215355679,-76644.9393144401,4.572801573038051,-294074677981.263,10819849060206.746,409899.04030368215, 0.010905643376210791,-0.4040298119072151,2.9744892116672617e-05, 17280.0
7.72659656623814e+32,21509020612.77471,925548.692685493,63559.75271866692,6944.088120221833,188935378516.97104,-6490298619221.096,-638174197.9159802, -0.020378795727983064,0.3009024758267366,0.018453871037534965,1.1933519999999997e+33,21509020612.77471,-1546218.7725301352,-83710.93434074087,5.10585642655637,-320795053306.8773,10818461964404.598,493606.46327501646, 0.011916712411068056,-0.4040575545118342,3.123376073959814e-05, 19008.0
7.72659656623814e+32,21509020612.77471,925092.4843926778,68851.61058056004,7247.495177053091,204925120717.39957,-6489154960400.726,-515357165.17887217, -0.03264268011507978,0.3104597348123918,0.015157236427509971,1.1933519999999997e+33,21509020612.77471,-1546000.6435389821,-90777.43362276131,5.669867857191345,-347511853523.8579,10816954234605.504,586674.071761938, 0.012928393957969153,-0.4040874140824529,3.302530756871962e-05, 20736.0
7.72659656623814e+32,21509020612.77471,924623.2498431171,74092.94574754577,7635.570414443914,220906768156.7694,-6487920474298.84,-386809231.8734064, -0.0329370844818525,0.29281237175937225,0.022226156548438486,1.1933519999999997e+33,21509020612.77471,-1545764.8132588102,-97844.48542193642,6.271752891331299,-374224780257.9997,10815325861921.094,689679.894366959, 0.013940803449674025,-0.40412028731808625,3.5459759114223514e-05, 22464.0
7.72659656623814e+32,21509020612.77471,923962.4098485674,79144.7627861862,7946.557041597636,236879393221.44943,-6486598468118.664,-252075335.81153065, -0.0589987697289329,0.28885030306597326,0.015610364322780408,1.1933519999999997e+33,21509020612.77471,-1545511.2652915113,-104912.13018783387,6.901133076720891,-400933534880.20703,10813576836669.113,803205.1031386066, 0.014954294103024688,-0.40415498940981665,3.675938641583932e-05, 24192.0
7.72659656623814e+32,21509020612.77471,923073.6965720049,84188.29467905151,8056.00738262149,252837989325.96097,-6485190215103.012,-113510935.31301937, -0.050120670352532905,0.2856575073183248,0.0032275343703452694,1.1933519999999997e+33,21509020612.77471,-1545239.9962112564,-111980.39964059058,7.562228223873565,-427637818527.8535,10811707148596.723,927727.0979488841, 0.015967407676428538,-0.40419187582245336,3.855603620966019e-05, 25920.0
7.72659656623814e+32,21509020612.77471,922154.9437100062,88457.4398628053,8157.254549465306,268780962604.16058,-6483698022502.854,26700647.92388444, -0.06509959438373235,0.26964839007226904,0.0028969456744234413,1.1933519999999997e+33,21509020612.77471,-1544980.7068631889,-118342.42378848087,8.094075575719478,-454337331212.96985,10809716757855.297,1063632.7098861686, 0.016880345526456838,-0.4042282634277832,-1.1433320727129419e-05, 27648.0
7.72659656623814e+32,21509020612.77471,921058.5176795785,93106.33130249742,7904.906155741519,284705599907.4715,-6482125946103.307,165056713.44523174, -0.06605044401269698,0.26727116877016666,-0.012247288592463662,1.1933519999999997e+33,21509020612.77471,-1544675.750955806,-125412.00711228978,7.904037225093612,-481031769722.08307,10807605563363.357,1201693.8925259553, 0.017893974021828428,-0.4042684847687755,-1.0483181058586788e-05, 29376.0
7.72659656623814e+32,21509020612.77471,919949.3377461225,97774.8130147544,7563.222770909761,300611058353.19574,-6480474138250.474,298606507.53896505, -0.0606651762989308,0.2672237040436197,-0.02603096281173662,1.1933519999999997e+33,21509020612.77471,-1544353.0733931689,-132482.32271574327,7.7327786014639095,-507720839697.7732,10805373671293.324,1336685.6313365307, 0.018907247385665803,-0.40431159253059906,-9.374433845568705e-06, 31104.0
7.72659656623814e+32,21509020612.77471,918872.1517402595,102388.32639305106,7133.189153990382,316498675593.4165,-6478743253308.848,425247781.0269314, -0.06933855187252076,0.26400644693730346,-0.022301085493403948,1.1933519999999997e+33,21509020612.77471,-1544012.6606105855,-139553.40152979537,7.5813189540420725,-534404242221.98694,10803021068960.805,1468921.1289142517, 0.01992202672963938,-0.4043554693791574,-8.024366556319972e-06, 32832.0
7.72659656623814e+32,21509020612.77471,917752.968598594,106974.5306797999,6668.516696004283,332366781820.84344,-6476933976836.009,544762217.5017947, -0.061332024091489065,0.26089603847071247,-0.026458830182618683,1.1933519999999997e+33,21509020612.77471,-1543654.489941211,-146625.2820879239,7.452242934083245,-561081677988.279,10800547743251.668,1598757.2207949243, 0.020937707008556777,-0.40440333426172553,-6.66024097126568e-06, 34560.0
7.72659656623814e+32,21509020612.77471,916679.9268968656,111578.41527886142,6196.57557809506,348216570050.9734,-6475046088822.198,656415842.9079585, -0.06666028806416355,0.2555216234714344,-0.03578033374311849,1.1933519999999997e+33,21509020612.77471,-1543278.562892538,-153698.01516231787,7.346516131846416,-587752847526.8804,10797953680134.482,1726588.9159286523, 0.021953126120689764,-0.4044526504626983,-5.21997569542419e-06, 36288.0
7.72659656623814e+32,21509020612.77471,915646.3220413825,116070.86956885573,5601.465511443525,364048002979.78827,-6473080665259.086,758675158.5528648, -0.050759835387093444,0.25702547214074917,-0.037322487886300174,1.1933519999999997e+33,21509020612.77471,-1542884.8679642,-160771.632803899,7.269352368529418,-614417451344.0234,10795238864991.99,1852866.9340469292, 0.02296978813491695,-0.404504259145338,-4.001380016079312e-06, 38016.0
7.72659656623814e+32,21509020612.77471,914780.0120366055,120533.68137616098,4953.135000367303,379863427306.7977,-6471038628057.581,850363769.1845683, -0.05240606763109658,0.254470009251357,-0.04328924725993732,1.1933519999999997e+33,21509020612.77471,-1542473.38484901,-167846.16603086857,7.210599891635165,-641075189614.3018,10792403282623.172,1977971.5468079092, 0.023987133995039392,-0.4045570569414095,-2.7621744072735806e-06, 39744.0
7.72659656623814e+32,21509020612.77471,913840.8834519143,124958.71782694242,4190.737867619702,395663460937.6266,-6468920559115.013,929953511.4407341, -0.05403149234365177,0.24856444470370043,-0.04378424926006162,1.1933519999999997e+33,21509020612.77471,-1542044.1005328957,-174921.6465372682,7.171129579078109,-667725762261.6892,10789446917370.588,2102245.59116932, 0.025005281945767562,-0.40461222762002336,-2.0538453557903173e-06, 41472.0
7.72659656623814e+32,21509020612.77471,912982.1997904337,128922.4452246804,3527.3846537615646,411447387215.3279,-6466727453123.557,996630278.28912, -0.05629185050582539,0.2557072673828788,-0.04164345772754639,1.1933519999999997e+33,21509020612.77471,-1541642.517616622,-181290.42373658693,7.145646197881998,-694368861527.4214,10786369635938.785,2225933.7948142258, 0.02592241409355232,-0.4046643067158939,-1.457191165929647e-06, 43200.0
7.72659656623814e+32,21509020612.77471,912132.5460979986,133305.4889843401,2709.7224730890307,427215763225.4329,-6464459143241.759,1049873271.379946, -0.04538562838777231,0.2502525409677098,-0.039074159092748355,1.1933519999999997e+33,21509020612.77471,-1541179.3705518176,-188367.82254924244,7.117733395015313,-721004191763.949,10783171507974.025,2349151.296627198, 0.026942707297788734,-0.4047243667042458,-1.466794908366033e-06, 44928.0
7.72659656623814e+32,21509020612.77471,911369.0573130727,137715.34581995505,1952.3718595040098,442970360148.1444,-6462115572632.269,1090027548.3378587, -0.040707280374510234,0.24798122203127237,-0.04680357717734455,1.1933519999999997e+33,21509020612.77471,-1540698.3839583702,-195446.29061199655,7.083517609475362,-747631453995.7157,10779852546038.727,2471866.44705859, 0.02796271822023807,-0.40478629774948743,-2.307588888306031e-06, 46656.0
7.72659656623814e+32,21509020612.77471,910621.3477772282,142187.93341712133,1123.993412044579,458712163918.0517,-6459696885496.938,1116796171.7240832, -0.04111172242008941,0.2626988197395921,-0.048957894730176844,1.1933519999999997e+33,21509020612.77471,-1540199.5455841091,-202525.86903268582,7.044226134866864,-774250347321.9221,10776412731722.998,2593925.0902909334, 0.02898394891457343,-0.40485064259909376,-2.217556209160574e-06, 48384.0
7.72659656623814e+32,21509020612.77471,910082.9342353478,146780.47860015495,245.3451573929918,474442898956.5072,-6457200525731.715,1128814437.3271413, -0.03581285851509577,0.2671883017937869,-0.0526140734199483,1.1933519999999997e+33,21509020612.77471,-1539682.8331961662,-209606.58059971416,7.000622655021893,-800860570500.802,10772852046092.447,2715287.6575977504, 0.0300070086410826,-0.40491616607299097,-2.802464065791722e-06, 50112.0
7.72659656623814e+32,21509020612.77471,909498.402059802,151971.2826879454,-590.4037709686388,490164159326.1978,-6454622136148.903,1125989000.273014, -0.03383274422871664,0.31206708435295744,-0.052268340140113945,1.1933519999999997e+33,21509020612.77471,-1539148.22443248,-216688.4599487695,6.943305951254808,-827461821897.2908,10769170469772.578,2835792.970676795, 0.031030298315062124,-0.4049842251788829,-3.673872367138451e-06, 51840.0
7.72659656623814e+32,21509020612.77471,909008.3405076548,157470.86676965997,-1445.2266936753963,505876188498.8081,-6451951130360.353,1108703299.1542573, -0.031248024066515008,0.3271873130240388,-0.04309435952978264,1.1933519999999997e+33,21509020612.77471,-1538595.7054284206,-223771.5547455997,6.872316870294505,-854053799604.9005,10765367982682.035,2955199.7415141095, 0.0320549433313572,-0.4050546383219721,-4.256110275762377e-06, 53568.0
7.72659656623814e+32,21509020612.77471,908416.6831893643,163119.52344040293,-2188.3537971907003,521579217809.00977,-6449184781092.959,1077664194.6107614, -0.03439553631042935,0.32376995196985076,-0.04326429487898079,1.1933519999999997e+33,21509020612.77471,-1538025.2667161121,-230855.90517248,6.779441704351348,-880636201490.2089,10761444564010.258,3073237.9276840566, 0.033078864845374985,-0.40512753628242093,-5.607665414812796e-06, 55296.0
7.72659656623814e+32,21509020612.77471,907758.5222991542,168068.73232837353,-2721.496984875663,537271335988.3287,-6446322876744.152,1035098230.6694859, -0.04979036364069105,0.3109706698582335,-0.02954928410793951,1.1933519999999997e+33,21509020612.77471,-1537496.5572447604,-237232.9271158873,6.687910437445646,-907208720569.7777,10757400134379.844,3189607.6608195943, 0.03400155342639626,-0.40519447722715757,-6.240502068914143e-06, 57024.0
7.72659656623814e+32,21509020612.77471,906726.9860367585,173168.72498301978,-3252.114697290378,552948238603.81,-6443370233401.862,982833248.8873826, -0.0689801527829582,0.27825342454692303,-0.0313367213143127,1.1933519999999997e+33,21509020612.77471,-1536892.0516095248,-244319.76348354924,6.550558967694983,-933771051317.9712,10753234639966.857,3303959.2661054377, 0.03502853159025382,-0.4052720551366646,-8.743848362160638e-06, 58752.0
7.72659656623814e+32,21509020612.77471,905531.5521936725,178338.48295515066,-3580.3868265599363,568605674870.0505,-6440331738778.737,923532660.7253311, -0.0711828122049234,0.2955040359337792,-0.01992387569390067,1.1933519999999997e+33,21509020612.77471,-1536269.5953068295,-251407.9607237718,6.3943670037241995,-960322898321.757,10748948147641.328,3415763.687219776, 0.03605588258166183,-0.4053495280135948,-9.486455750793572e-06, 60480.0
7.72659656623814e+32,21509020612.77471,904420.9370007489,183205.2955715635,-3911.291192044718,584243343053.3892,-6437205771957.174,858576274.4701428, -0.06214033405824753,0.2590817661960592,-0.013207390887412485,1.1933519999999997e+33,21509020612.77471,-1535629.1542568211,-258497.54644693868,6.198903191052544,-986863958579.9875,10744540634286.75,3524587.9185085096, 0.03708479399425585,-0.405429635707578,-1.2292556215901268e-05, 62208.0
7.72659656623814e+32,21509020612.77471,903445.1610695114,187749.7260054134,-4197.125128416348,599863004768.9453,-6434000558736.721,788689034.5245007, -0.053611840608829106,0.2580737141220938,-0.02329686899479818,1.1933519999999997e+33,21509020612.77471,-1534970.7038717465,-265588.54749318445,5.97117482006647,-1013393928595.1971,10740012076239.826,3629752.0208575423, 0.03811442110796273,-0.405511335779977,-1.3785586888936349e-05, 63936.0
7.72659656623814e+32,21509020612.77471,902635.8669522193,191860.4274222771,-4705.844683631168,615467460425.9188,-6430720940941.118,711962085.0826826, -0.04982194845484833,0.2269358701469384,-0.024418176726588487,1.1933519999999997e+33,21509020612.77471,-1534294.243118028,-272680.98758260394,5.711896010941403,-1039912504608.984,10735362449430.514,3730792.1080822465, 0.0391449600952923,-0.40559486563163955,-1.5824016812926048e-05, 65664.0
7.72659656623814e+32,21509020612.77471,901783.4586969434,196242.5339084605,-5105.445209373447,631058150146.6738,-6427371109478.036,627603318.0532831, -0.05044995315463136,0.2675072257012407,-0.02841348134419341,1.1933519999999997e+33,21509020612.77471,-1533599.749104478,-279774.8903007998,5.440379677238956,-1066419382793.8871,10730591729362.162,3827264.8734202217, 0.04017751596876279,-0.4056786179397767,-1.5960026381002295e-05, 67392.0
7.72659656623814e+32,21509020612.77471,900660.555079105,200535.00637886344,-5700.477712140397,646632481301.0602,-6423944821973.059,534383194.94314885, -0.076308141589585,0.2334442338193435,-0.03099109569908591,1.1933519999999997e+33,21509020612.77471,-1532887.1852061416,-286870.2962132155,5.14118659869521,-1092914258725.4689,10725699891129.098,3918882.225526752, 0.041211082092548076,-0.405766634797414,-1.7543325479482085e-05, 69120.0
